Semantic Field,Structure,Database ID,Synset,Phrase 1,Phrase 2,Definiton,Jpn ID,Jpn Synset,Phrase 1,Phrase 2,Jpn Definition
Communication,entity:abstraction:communication:message:statement:condition,06783666,"condition,strings,term",,,"(usually plural) a statement of what is required as part of an agreement; ""the contract set out the conditions of the lease""; ""the terms of the treaty were generous""",06770875-n,条件,,,合意の一部として要求される声明
Communication,entity:abstraction:communication:message:statement:declaration,06738626,declaration,,,a statement that is emphatic and explicit (spoken or written),06725877-n,"声明,宣言,言明,断言,道破,公言,明言,確言",,,はっきりしていて露骨である（口頭であるか書かれた）声明
Communication,entity:abstraction:communication:message:statement:declaration:assertion,06742248,"assertion,averment,asseveration",,,a declaration that is made emphatically (as if no supporting evidence were necessary),06729499-n,"力説,宣言,言明,断言,主張,明言,確言",,,（まるで補強証拠が必要でないかのように）断固としてなされる宣言
Communication,entity:abstraction:communication:message:statement:declaration:assertion:accusation,06743529,"accusation,charge",,,"an assertion that someone is guilty of a fault or offence; ""the newspaper published charges that Jones was guilty of drunken driving""",06730780-n,告発,,,誰かが過失または違反の罪があるという主張
Communication,entity:abstraction:communication:message:statement:declaration:assertion:claim,06743312,claim,,,"an assertion that something is true or factual; ""his claim that he was innocent""; ""evidence contradicted the government's claims""",06730563-n,主張,,,何かが真実または事実であるという主張
Communication,entity:abstraction:communication:message:statement:declaration:assertion:denial,07218900,"denial,disaffirmation",,,the act of asserting that something alleged is not true,07204240-n,"打消,うち消し,打ち消し,打消し,否定",,,主張されたことが本当でないと宣言する行為
Communication,entity:abstraction:communication:message:statement:estimate,06796455,estimate,,,"a statement indicating the likely cost of some job; ""he got an estimate from the car repair shop""",06783598-n,"見積り,積り書き,積もり書き,積書,見積もり,積書き,積り書,見積,積もり,積り",,,ある仕事の適当なコストを示す言明
Communication,entity:abstraction:communication:message:statement:explanation,06751030,"explanation,account",,,"a statement that makes something comprehensible by describing the relevant structure or operation or circumstances etc.; ""the explanation was very simple""; ""I expected a brief account""",06738281-n,"解説,説明",,,関連した構造、作業、あるいは事情などを述べることによって、理解できるようにする声明
Communication,entity:abstraction:communication:message:statement:explanation:definition,06757091,definition,,,a concise explanation of the meaning of a word or phrase or symbol,06744396-n,"ディフィニション,デフィニション,定義,デフィニッション,ディフィニッション",,,単語、句、記号の意味の簡潔な説明
Communication,entity:abstraction:communication:message:statement:explanation:interpretation:version,07188236,version,,,"an interpretation of a matter from a particular viewpoint; ""his version of the fight was different from mine""",07173585-n,#N/A,,,特定の視点からの問題の解釈
Communication,entity:abstraction:communication:message:statement:explanation:justification:defense:excuse,06754000,"excuse,alibi,exculpation,self-justification",,,"a defense of some offensive behavior or some failure to keep a promise etc.; ""he kept finding excuses to stay""; ""every day he had a new alibi for not getting a job""; ""his transparent self-justification was unacceptable""",06741305-n,"弁解,言い分け,言いわけ,託言,イクスキューズ,かこつけ,自己弁護,辞柄,かこつけ言,エクスキューズ,言分け,言い訳,かこち種,言前,口実,託種,言訳,託ち種,自己正当化",,,無礼な振舞いや約束などの不履行の弁護
Communication,entity:abstraction:communication:message:statement:explanation:reason,06752739,reason,,,"an explanation of the cause of some phenomenon; ""the reason a steady state was never reached was that the back pressure built up too slowly""",06739990-n,"事由,理屈,廉,節理,根拠,理合い,道理,一理,訳合い,理窟,理くつ,事わけ,謂われ,所為,筋あい,所以,由縁,理由,原由,由,由来,筋合,成因,訳柄,謂れ,訳合,理趣,筋合い,理合,わけ,訳,事訳",,,ある現象の原因の説明
Communication,entity:abstraction:communication:message:statement:falsehood:contradiction,07221547,"contradiction,contradiction in terms",,,"(logic) a statement that is necessarily false; ""the statement `he is brave and he is not brave' is a contradiction""",07206887-n,"矛盾,不合理,矛盾撞着,牴触,背馳,撞着,背反,頓珍漢",,,必然的に誤りになってしまう命題
Communication,entity:abstraction:communication:message:statement:falsehood:contradiction:paradox,06737308,paradox,,,"(logic) a statement that contradicts itself; ""`I always lie' is a paradox because if it is true it must be false""",06724559-n,"パラドックス,逆理,逆説",,,それ自身矛盾している発言
Communication,entity:abstraction:communication:message:statement:falsehood:lie,06769542,"lie,prevarication",,,a statement that deviates from or perverts the truth,06756831-n,"うそ,虚言,妄語,造言,偽言,嘘,妄言,そら音,虚誕,偽り,空音,詐偽,虚辞,虚偽,そら言,造説,虚語,嘘偽,空言,嘘偽り,偽り言,譎詐,偽,欺き,不実,虚",,,真実からそれるまたは真実を誤らせる言明
Communication,entity:abstraction:communication:message:statement:falsehood:lie:fib,06769768,"fib,story,tale,tarradiddle,taradiddle",,,"a trivial lie; ""he told a fib about eating his spinach""; ""how can I stop my child from telling stories?""",06757057-n,"小さな嘘,たわいない嘘",,,ささいな嘘
Communication,entity:abstraction:communication:message:statement:formula,06744762,formula,,,a conventionalized statement expressing some fundamental principle,06732013-n,"きまり文句,決り文句,決まり文句",,,ある基本的な原理を表現する慣例化された言明
Communication,entity:abstraction:communication:message:statement:mathematical statement:equation,06682609,equation,,,a mathematical statement that two expressions are equal,06669864-n,方程式,,,2つの式が等しい数学的命題
Communication,entity:abstraction:communication:message:statement:prediction:horoscope,06762308,horoscope,,,a prediction of someone's future based on the relative positions of the planets,06749594-n,"星占い,ホロスコープ",,,惑星の相対的な位置に基づく誰かの将来についての予言
Communication,entity:abstraction:communication:message:statement:prediction:prognosis,06762595,"prognosis,forecast",,,a prediction about how something (as the weather) will develop,06749881-n,"予想,見込,見通し,見通,見こみ,見透,見込み,見とおし,見透し,予測,予報",,,（天気のような）何かがどのようになるかについての予報
Communication,entity:abstraction:communication:message:statement:proposition,06763518,proposition,,,(logic) a statement that affirms or denies something and is either true or false,06750804-n,命題,,,何かを肯定または否定し、真または偽である言明
Communication,entity:abstraction:communication:message:statement:proposition:postulate:premise,06766514,"premise,premiss,assumption",,,"a statement that is assumed to be true and from which a conclusion can be drawn; ""on the assumption that he has been injured we can infer that he will not play""",06753800-n,前提,,,真であると想定され、そこから結論が導かれる言明
Communication,entity:abstraction:communication:message:statement:proposition:postulate:premise:condition,06768279,"condition,precondition,stipulation",,,an assumption on which rests the validity or effect of something else,06755568-n,"条件,前提条件,コンディション",,,何か他のものの正当性または効果に基づくという仮定
Communication,entity:abstraction:communication:message:statement:proposition:postulate:premise:scenario,06768822,scenario,,,"a postulated sequence of possible events; ""planners developed several scenarios in case of an attack""",06756111-n,"脚本,台本,シナリオ",,,起こりうる出来事を仮定して並べたもの
Communication,entity:abstraction:communication:message:statement:quotation,06768978,quotation,,,a statement of the current market price of a security or commodity,06756267-n,"相場,時価,市価",,,証券または商品の現行市場価格のステートメント
Communication,entity:abstraction:communication:message:statement:remark,06777755,"remark,comment,input",,,"a statement that expresses a personal opinion or belief or adds information; ""from time to time she contributed a personal comment on his account""; ""we would appreciate input from our users on how we can improve our software""",06765044-n,"コメント,意見,所見",,,個人的な見解または信念を述べる、もしくは情報を追加する声明
Communication,entity:abstraction:communication:message:statement:remark:wisecrack,06780568,"wisecrack,crack,sally,quip",,,witty remark,06767777-n,"気のきいたしゃれ,気のきいた言葉,洒落,シャレ,当意即妙の言葉",,,乙な意見
Communication,entity:abstraction:communication:message:statement:reservation,06775091,"reservation,qualification",,,"a statement that limits or restricts some claim; ""he recommended her without any reservations""",06762380-n,"制限,限定,条件,留保,予約,指定",,,ある主張を制限または限定する言明
Communication,entity:abstraction:communication:message:statement:summary,06478678,"summary,sum-up",,,"a brief statement that presents the main points in a concise form; ""he gave a summary of the conclusions""",06467007-n,"要覧,略,大抵,摘記,概論,要言,概略,要説,大要,一つ書き,略書,要略,撮要,概括,略言,約言,摘要,要論,総説,一つ書,大概,約説,凡そ,纏,摘録,概要,綱領,提要,概説,汎論,概ね,概観,大凡,要約,纏め,大筋,サマリー,あらまし,凡,レジュメ,略意,総括,梗概,要綱,要旨,サマリ,大意,レジメ,略説",,,完結な形態で要点を表現する短い言葉
Communication,entity:abstraction:communication:message:statement:summary:capitulation:recapitulation,06481048,"recapitulation,recap,review",,,a summary at the end that repeats the substance of a longer discussion,06469377-n,"概括,纏,纏め,総括",,,長い議論の要旨を繰り返す最後のまとめ
Communication,entity:abstraction:communication:message:statement:summary:outline,06480622,"outline,synopsis,abstract,precis",,,a sketchy summary of the main points of an argument or theory,06468951-n,"略筆,一通り,要覧,略叙,ひと通,大抵,ひと通り,概論,荒筋,概略,大旨,要領,要説,大要,略述,綱要,大綱,要略,撮要,概括,筋書き,粗筋,摘要,一とおり,綱目,大略,総説,主旨,大概,約説,凡そ,要義,あらすじ,概要,綱領,提要,概説,総論,概ね,概観,大凡,アウトライン,要約,骨組み,アブストラクト,大筋,サマリー,あらまし,大体,凡,レジュメ,略意,総括,梗概,要綱,要旨,サマリ,大意,レジメ,シノプシス,骨組,略説",,,議論か理論の主要ポイントの表面的な概要
Communication,entity:abstraction:communication:message:statement:summary:overview,06480894,overview,,,"a general summary of a subject; ""the treasurer gave a brief overview of the financial consequences""",06469223-n,"サーベイ,展望,概要,概観",,,主題の一般的な概要
Communication,entity:abstraction:communication:message:statement:summary:sketch,06481365,"sketch,survey,resume",,,short descriptive summary (of events),06469694-n,"要覧,展望,素描,約説,概観,レジュメ,レジメ",,,（出来事の）短い記述的な要約
Communication,entity:abstraction:communication:message:statement:truth,06736815,"truth,true statement",,,"a true statement; ""he told the truth""; ""he thought of answering with the truth but he knew they wouldn't believe it""",06724066-n,"真成,事実,ほんま,真実の言明,真,定,本当,誠,正真,実,真実,真誠,本真,真相",,,本当の話
Communication,entity:abstraction:communication:message:subject,06612141,"subject,topic,theme",,,"the subject matter of a conversation or discussion; ""he didn't want to discuss that subject""; ""it was a very sensitive topic""; ""his letters were always on the theme of love""",06599788-n,"トピック,サブジェクト,話頭,テーマ,主題,題目,題,話柄,話題,件",,,会話または議論の主題
Communication,entity:abstraction:communication:message:subject:question:problem,06796860,problem,,,"a question raised for consideration or solution; ""our homework consisted of ten problems to solve""",06784003-n,"問い,課題,問,設問,悩み,問題,命題,案件,題,プロブレム,宿題",,,考慮または解決するために提起される疑問
Communication,entity:abstraction:communication:message:submission,07182229,"submission,entry",,,"something (manuscripts or architectural plans and models or estimates or works of art of all genres etc.) submitted for the judgment of others (as in a competition); ""several of his submissions were rejected by publishers""; ""what was the date of submission of your proposal?""",07167578-n,#N/A,,,他のもの（コンペとして）を判断するために提出された物（原稿、設計図、すべてのジャンルの作品のモデルまたは見積もりなど）
Communication,entity:abstraction:communication:message:wit:cartoon,06793517,"cartoon,sketch",,,a humorous or satirical drawing published in a newspaper or magazine,06780678-n,"戯絵,戯れ絵,カートゥーン,ポンチ絵,戯画",,,新聞または雑誌に掲載されるユーモアのあるまたは風刺的な素描
Communication,entity:abstraction:communication:message:wit:cartoon:comic strip,07016468,"comic strip,cartoon strip,strip,funnies",,,a sequence of drawings telling a story in a newspaper or comic book,07003352-n,コミック・ストリップ,,,新聞または漫画雑誌で物語を語っている一連の図
Communication,entity:abstraction:communication:message:wit:joke,06790941,"joke,gag,laugh,jest,jape",,,"a humorous anecdote or remark intended to provoke laughter; ""he told a very funny joke""; ""he knows a million gags""; ""thanks for the laugh""; ""he laughed unpleasantly at his own jest""; ""even a schoolboy's jape is supposed to have some ascertainable point""",06778102-n,"道化,ジョーク,戯言,戯れ,ざれ言,洒落,ギャグ,シャレ,戯れ言,戯話,諧謔,たわぶれ,戯,戯け話,冗談",,,笑いを誘おうとするユーモラスな逸話または言葉
Communication,entity:abstraction:communication:message:wit:sarcasm,06790003,"sarcasm,irony,satire,caustic remark",,,"witty language used to convey insults or scorn; ""he used sarcasm to upset his opponent""; ""irony is wasted on the stupid""; ""Satire is a sort of glass, wherein beholders do generally discover everybody's face but their own""--Jonathan Swift",06777164-n,"嫌み,イロニー,嫌味,厭味,諷刺,厭み,皮肉,風刺,アイロニー,辛辣な言葉",,,侮辱または軽蔑を意味するのに用いられる機知に富んだ言葉
Communication,entity:abstraction:communication:signal,06804229,"signal,signaling,sign",,,"any nonverbal action or gesture that encodes a message; ""signals from the boat suddenly stopped""",06791372-n,"信号,合図,シグナル,サイン",,,メッセージを符号化する非言語的な行動またはジェスチャーの総称
Communication,entity:abstraction:communication:signal:animal communication:birdcall,06809500,"birdcall,call,birdsong,song",,,"the characteristic sound produced by a bird; ""a bird will not learn its song unless it hears it at an early age""",06796642-n,"鳥の鳴き声,囀り,鳴き声,さえずり",,,鳥が出す特徴的な音
Communication,entity:abstraction:communication:signal:indicator:reference point,07273000,"reference point,point of reference,reference",,,"an indicator that orients you generally; ""it is used as a reference for comparing the heating and the electrical energy involved""",07258332-n,"引合,参考,規準,原点,基準点,基準,準拠集団,目安,引合い,引き合い,基点",,,一般的に示すもの
Communication,entity:abstraction:communication:signal:indicator:reference point:target,07276776,"target,mark",,,"a reference point to shoot at; ""his arrow hit the mark""",07262108-n,"標的,正鵠,的,黒星,狙い所,矢所,図星,ターゲット",,,狙い撃つ標点
Communication,entity:abstraction:communication:signal:phone number,06437781,"phone number,telephone number,number",,,"the number is used in calling a particular telephone; ""he has an unlisted number""",06426111-n,"電番,電話番号,電話,ナンバー,番号,携帯電話",,,数が、特定の電話を呼ぶ際に使われる
Communication,entity:abstraction:communication:signal:symbol,06819327,symbol,,,an arbitrary sign (written or printed) that has acquired a conventional significance,06806469-n,"表徴,略号,紋章,シンボル,信号,符帳,象徴,符号,印,符牒,表号,標,表象,章,記,記号,符丁,標号,マーク",,,慣習的な意味を獲得した任意の（書かれたまたは印刷された）記号
Communication,entity:abstraction:communication:signal:symbol:award:academic degree,06710094,"academic degree,degree",,,"an award conferred by a college or university signifying that the recipient has satisfactorily completed a course of study; ""he earned his degree at Princeton summa cum laude""",06697331-n,"学位,デグリー",,,受賞者が十分に教科課程を完了したことを表明する、単科大学または総合大学が授与する賞
Communication,entity:abstraction:communication:signal:symbol:award:decoration,06719615,"decoration,laurel wreath,medal,medallion,palm,ribbon",,,an award for winning a championship or commemorating some other event,06706676-n,"記章,シュロの葉,褒章,綬,褒賞,リボン,栄典,大メダル,桂冠,勲章,メダル,月桂冠,胸章",,,選手権に勝つか、または他のでき事を記念するための賞
Artifact,entity:abstraction:communication:signal:symbol:award:trophy,04495252,"trophy,prize",,,something given as a token of victory,04487996-n,"トロフィー,賞",,,勝利の記念として与えられる物
Communication,entity:abstraction:communication:signal:symbol:marker:label,07286877,label,,,an identifying or descriptive marker that is attached to an object,07272172-n,"付箋,ラベル,附票,附箋,レッテル,付け札,付票,レーベル,付札,表示,荷札,付け紙,付紙,下げ札,札",,,物に付けられる、識別できるまたは記述的である目印
Communication,entity:abstraction:communication:signal:symbol:numeral,06820056,"numeral,number",,,"a symbol used to represent a number; ""he learned to write the numerals before he went to school""",06807198-n,"ナンバー,数字,数,数詞",,,数を表すために使われる記号
Communication,entity:abstraction:communication:signal:symbol:staff,07281865,staff,,,a rod carried as a symbol,07267160-n,#N/A,,,シンボルとして持たれる棒
Communication,entity:abstraction:communication:signal:symbol:stamp:seal,06869035,seal,,,"a stamp affixed to a document (as to attest to its authenticity or to seal it); ""the warrant bore the sheriff's seal""",06855985-n,"印判,押捺,印,印顆,シール,極印,判こ,スタンプ,印形,押印,印章,消印,印鑑,判子",,,（それが本物であることを証明するため、またはそれに封印を施すためのように）文書に押される印章
Communication,entity:abstraction:communication:signal:symbol:token,06808603,"token,item",,,"an individual instance of a type of symbol; ""the word `error' contains three tokens of `r'""",06795746-n,"トークン,記号",,,記号のタイプの個々の例
Communication,entity:abstraction:communication:signal:symbol:token:postage,06808977,"postage,postage stamp,stamp",,,a small adhesive token stuck on a letter or package to indicate that that postal fees have been paid,06796119-n,"切手,郵便切手",,,郵便の料金が払われたそれを示すために手紙か小包に貼り付けられる小さな粘着性の印
Communication,entity:abstraction:communication:signal:symbol:written symbol:character,06831828,"character,graph,grapheme,graphic symbol",,,"a written symbol that is used to represent speech; ""the Greek alphabet has 24 characters""",06818970-n,"文字記号,キャラクター,書記素,文字",,,言葉を表すために使われる書かれた記号
Communication,entity:abstraction:communication:signal:symbol:written symbol:character:asterisk,06841439,"asterisk,star",,,a star-shaped character * used in printing,06828389-n,"星印,アステリスク,アスタリスク,アステリ",,,印刷で使われる星形の文字＊
Communication,entity:abstraction:communication:signal:symbol:written symbol:character:capital,06837277,"capital,capital letter,uppercase,upper-case letter,majuscule",,,"one of the large alphabetic characters used as the first letter in writing or printing proper names and sometimes for emphasis; ""printers once kept the type for capitals and for small letters in separate cases; capitals were kept in the upper half of the type case and so became known as upper-case letters""",06824227-n,"頭文字,かしら文字,キャピトル,大文字,キャピタル,キャピタルレター,親文字,頭字",,,固有名詞を書くあるいは印刷する場合に先頭文字として使われ、しばしば強調に用いられる大文字のアルファベットの1つ
Communication,entity:abstraction:communication:signal:symbol:written symbol:character:letter,06841868,"letter,letter of the alphabet,alphabetic character",,,"the conventional characters of the alphabet used to represent speech; ""his grandmother taught him his letters""",06828818-n,"レター,字母,英字,アルファベットの文字,アルファベット,文字,字",,,話し言葉を表すために使用される、伝統的な、体系化された記号
Communication,entity:abstraction:communication:signal:symbol:written symbol:character:letter:initial,06844047,initial,,,"the first letter of a word (especially a person's name); ""he refused to put the initials FRS after his name""",06830997-n,"頭文字,かしら文字,名頭,イニシャル,イニシアル,頭字",,,単語（特に人の名前）の最初の文字
Communication,entity:abstraction:communication:signal:symbol:written symbol:character:space,06852240,"space,blank",,,"a blank character used to separate successive words in writing or printing; ""he said the space is the most important character in the alphabet""",06839190-n,"ブランク,間隔文字,空白文字,空白,スペース",,,書く、または印刷する連続した単語を分けるのに使われる空白文字
Communication,entity:abstraction:communication:signal:symbol:written symbol:mark:arrow,06830979,"arrow,pointer",,,a mark to indicate a direction or relation,06818121-n,矢印,,,方向または関係を示す記号
Communication,entity:abstraction:communication:signal:symbol:written symbol:mark:check mark,06831605,"check mark,check,tick",,,"a mark indicating that something has been noted or completed etc.; ""as he called the role he put a check mark by each student's name""",06818747-n,"照合のしるし,チェック,チェックマーク",,,何かが注意されたまたは完成されたことなどを示すしるし
Communication,entity:abstraction:communication:signal:symbol:written symbol:mark:punctuation:bracket,06855502,"bracket,angle bracket",,,either of two punctuation marks (`<' or `>') used in computer programming and sometimes used to enclose textual material,06842452-n,"山パーレン,アングルブラケット,山鉤,山括弧",,,コンピュータプログラミングにおいて使われて、時々、原文の材料を囲むのに用いられる2つの句読点（&lt;または&gt;）のどちらでも
Communication,entity:abstraction:communication:signal:symbol:written symbol:mark:punctuation:colon,06855710,colon,,,a punctuation mark (:) used after a word introducing a series or an example or an explanation (or after the salutation of a business letter),06842660-n,コロン,,,連続するもの、例または説明（またはビジネスレターの挨拶文の後で）を紹介する語の後で使われる句読点（：）
Communication,entity:abstraction:communication:signal:symbol:written symbol:mark:punctuation:period,06856570,"period,point,full stop,stop,full point",,,"a punctuation mark (.) placed at the end of a declarative sentence to indicate a full stop or after abbreviations; ""in England they call a period a stop""",06843520-n,"句点,ピリオド,終止符",,,完全な終わりを示すために平叙文の末尾に、または省略の後に置かれる句読点（.）
Communication,entity:abstraction:communication:signal:visual signal:flare,06887980,"flare,flash",,,a burst of light used to communicate or illuminate,06874930-n,"彩光弾,照明弾",,,光の破裂は、知らせるかまたは以前明るくした
Communication,entity:abstraction:communication:signal:visual signal:post,07272483,"post,stake",,,"a pole or stake set up to mark something (as the start or end of a race track); ""a pair of posts marked the goal""; ""the corner of the lot was indicated by a stake""",07257815-n,"棒杭,棒杙,標木,杙,杭,棒ぐい",,,何かを示す棒あるいは杭（レース競技のスタート地点など）
Communication,entity:abstraction:communication:visual communication:chart,07012462,"chart,graph",,,a visual display of information,06999802-n,"図表,チャート,図",,,情報のビジュアルな表示
Communication,entity:abstraction:communication:visual communication:chart:plot,07012805,plot,,,a chart or graph showing the movements or progress of an object,,#N/A,,,#N/A
Communication,entity:abstraction:communication:visual communication:demonstration,06892230,"demonstration,demo",,,"a visual presentation showing how something works; ""the lecture was accompanied by dramatic demonstrations""; ""the lecturer shot off a pistol as a demonstration of the startle response""",06879180-n,"実演,デモ,デモンストレーション",,,物事の仕組みを視覚的に見せること
Communication,entity:abstraction:communication:visual communication:gesture:facial expression:grimace,06890628,"grimace,face",,,"a contorted facial expression; ""she made a grimace at the prospect""",06877578-n,"しかめっ面,顰めっ面,渋っ面,顰め面,しかめ面,渋面",,,ゆがんだ表情
Communication,entity:abstraction:communication:visual communication:gesture:facial expression:smile,06891121,"smile,smiling,grin,grinning",,,a facial expression characterized by turning up the corners of the mouth; usually shows pleasure or amusement,06878071-n,"微笑,ニヤニヤ,微笑み,笑い顔,頬笑,笑顔,頬笑み,にっこり,にやにや,一笑,笑,笑み,笑まい,スマイル,破顔,笑い,含み笑い,わらい顔",,,口の端を上げることで特徴づけられる顔の表現
Communication,entity:abstraction:communication:visual communication:gesture:sign,06889194,sign,,,a gesture that is part of a sign language,06876144-n,"身ぶり,サイン,身振り",,,手話の一部である身振り
Communication,entity:abstraction:communication:visual communication:graph,07012937,"graph,graphical record,graphical recording",,,"a visual representation of the relations between certain quantities, represented as points, plotted with reference to a set of axes",07000195-n,"図表,グラフ,グラフ記録",,,座標軸の集合と関連して作成されたある量の間の関係をビジュアルに示す図
Communication,entity:abstraction:communication:visual communication:projection,06900649,projection,,,the projection of an image from a film onto a screen,06887599-n,"映写,投影",,,フィルムに写っているもののスクリーン上への映写
Communication,entity:abstraction:communication:voice:singing voice:soprano,06886189,soprano,,,the highest female voice; the voice of a boy before puberty,06873139-n,ソプラノ,,,最も高い女性の声
Communication,entity:abstraction:communication:written communication:correspondence,06636121,correspondence,,,communication by the exchange of letters,06623614-n,"通信,交信,コレスポンデンス,コレポン,音信,文通,メール交換",,,手紙のやりとりによるコミュニケーション
Communication,entity:abstraction:communication:written communication:correspondence:card,06639513,card,,,"a rectangular piece of stiff paper used to send messages (may have printed greetings or pictures); ""they sent us a card from Miami""",06627006-n,"メッセージカード,カード",,,メッセージを送るために使われる矩形の固い紙（印刷された挨拶または絵があることもある）
Communication,entity:abstraction:communication:written communication:correspondence:card:postcard,06640445,"postcard,post card,postal card,mailing-card",,,a card for sending messages by post without an envelope,06627938-n,"ポストカード,郵便葉書,郵便端書,葉書,私製絵葉書,はがき,官製葉書,絵端書,郵便はがき,私製絵はがき,絵葉書,絵はがき,端書",,,封筒に入れずに郵便でメッセージを送るためのカード
Communication,entity:abstraction:communication:written communication:prescription,06377253,prescription,,,written instructions from a physician or dentist to a druggist concerning the form and dosage of a drug to be issued to a given patient,06365808-n,"レシピ,薬箋,レシピー,処方箋,処方せん",,,患者に発行される薬の形と量に関する薬剤師への医師または歯科医からの書面による指示
Communication,entity:abstraction:communication:written communication:writing:adaptation,06420422,"adaptation,version",,,"a written work (as a novel) that has been recast in a new form; ""the play is an adaptation of a short novel""",06408779-n,"翻案,改作,アダプテーション",,,新しい形で作り直された（小説のような）著作物
Communication,entity:abstraction:communication:written communication:writing:coding system:code,06367301,"code,computer code",,,(computer science) the symbolic arrangement of data or instructions in a computer program or the set of such instructions,06355894-n,"符号,コード,記号",,,コンピュータプログラムのデータや命令、またはそのような命令の一連の記号による配列
Communication,entity:abstraction:communication:written communication:writing:coding system:code:software,06578068,"software,software program,computer software,software system,software package,package",,,"(computer science) written programs or procedures or rules and associated documentation pertaining to the operation of a computer system and that are stored in read/write memory; ""the market for software is expected to expand""",06566077-n,"パッケージ,パッケージソフトウェア,パッケージソフト,ソフトウエア,ソフト,ソフトウェア",,,読み書きメモリに格納された、コンピュータ・システムの操作に関連するプログラム、手順、または規則、および関連文書
Communication,entity:abstraction:communication:written communication:writing:coding system:code:software:program,06581154,"program,programme,computer program,computer programme",,,"(computer science) a sequence of instructions that a computer can interpret and execute; ""the program required several hundred lines of code""",06568978-n,プログラム,,,コンピュータが解釈し、実行できる一連の命令
Communication,entity:abstraction:communication:written communication:writing:coding system:code:software:program:interface,06587403,"interface,user interface",,,(computer science) a program that controls a display for the user (usually on a computer monitor) and that allows the user to interact with the system,06575227-n,"ユーザーインターフェース,インタフェス,インターフェース,インタフェース,インターフェイス,インタフェイス,ユーザインタフェース",,,（普通コンピュータモニタ上で）ユーザに対してディスプレーを制御し、ユーザがシステムと相互にやりとりすることを可能にするプログラム
Communication,entity:abstraction:communication:written communication:writing:coding system:code:software:program:malevolent program:virus,06597992,"virus,computer virus",,,"a software program capable of reproducing itself and usually capable of causing great harm to files or other programs on the same computer; ""a true virus cannot spread to another computer without human assistance""",06585816-n,"コンピュータウィルス,ヴィールス,ビールス,コンピューターウイルス,ウィルス,ウイルス,ヴァイラス",,,それ自体を複写することができ、通常同じコンピュータ上のファイルあるいは他のプログラムに大きな危害を引き起こす可能性のあるソフトウェアプログラム
Communication,entity:abstraction:communication:written communication:writing:coding system:code:software:program:malevolent program:worm,06598274,worm,,,"a software program capable of reproducing itself that can spread from one computer to the next over a network; ""worms take advantage of automatic file sending and receiving features found on many computers""",06586098-n,ワーム,,,ネットワーク上で1台のコンピュータから次に広まることができる繁殖可能なソフトウェアプログラム
Communication,entity:abstraction:communication:written communication:writing:criticism:review,06422034,"review,critique,critical review,review article",,,an essay or article that gives a critical evaluation (as of a book or play),06410391-n,"レビュー,レヴュー,書評,文芸批評,評,総説,講評,概説,論評,評論,選評,批評,論策",,,（本や劇について）批評的評価をする小論または記事
Communication,entity:abstraction:communication:written communication:writing:diary,06413674,"diary,journal",,,a daily written record of (usually personal) experiences and observations,06402031-n,"ジャーナル,日記,日録,ダイヤリー,ダイアリー,ログ,日誌,当用日記,日乗",,,（普通個人的な）経験と観察の毎日書かれる記録
Communication,entity:abstraction:communication:written communication:writing:document,06481744,"document,written document,papers",,,writing that provides information (especially information of an official nature),06470073-n,"記文,ドキュメント,文書,書きもの,記録,書付,記,資料,書き物,成文,書付け,書類,実録",,,情報を提供する文書（特に公式自然の情報）
Communication,entity:abstraction:communication:written communication:writing:document:ballot,06482593,ballot,,,a document listing the alternatives that is used in voting,06470922-n,投票用紙,,,投票の時に使われる選択肢をリストアップしている文書
Communication,entity:abstraction:communication:written communication:writing:document:certificate,06483016,"certificate,certification,credential,credentials",,,a document attesting to the truth of certain stated facts,06471345-n,"信任状,免状,免許証,認可証,証明書,お墨付き,免許鑑札,認可状,免許状,証状,保証書,証書,確認書,鑑札,証票,認定証,御墨付き,免許",,,述べられている事実が真実であることを証明する文書
Communication,entity:abstraction:communication:written communication:writing:document:charter,06483408,charter,,,a document incorporating an institution and specifying its rights; includes the articles of incorporation and the certificate of incorporation,06471737-n,認可証,,,組織を法人組織にし、その権利を明細に述べる文書
Communication,entity:abstraction:communication:written communication:writing:document:commercial document:appraisal,06540774,"appraisal,estimate,estimation",,,a document appraising the value of something (as for insurance or taxation),06528783-n,"鑑定,見積り,値踏み,品評,目きき,査定,積り書き,目利き,品定,積もり書き,評価,目利,積算,積書,見積もり,積書き,積り書,品題,見積,換価,値踏",,,（保険または課税等のため）何かの価値を評価する文書
Communication,entity:abstraction:communication:written communication:writing:document:commercial document:coupon,06530059,"coupon,voucher",,,a negotiable certificate that can be detached and redeemed as needed,06518068-n,"引き換え証,クーポン券,クーポン,引換証,バウチャー",,,はずすことができ、必要なときに商品に換えることができる換金できる証券
Communication,entity:abstraction:communication:written communication:writing:document:commercial document:statement,06528586,"statement,financial statement",,,a document showing credits and debits,06516595-n,"決算報告,計算書,資産負債表",,,貸方と借方を示す文書
Possession,entity:abstraction:communication:written communication:writing:document:commercial document:statement:account,13376000,"account,accounting,account statement",,,"a statement of recent transactions and the resulting balance; ""they send me an accounting every month""",13354985-n,"勘定書,アカウント",,,最近の取引とその結果による差引勘定の計算書
